               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 144,            0.042457,            0.015752,           0.0010131,             0.77573,             0.64033,             0.72766,             0.46949,            0.041821,            0.024331,           0.0022731,            0.005281,            0.005281,            0.005281
                 145,            0.042445,            0.015552,           0.0010607,             0.77555,              0.6399,              0.7275,             0.46955,            0.041814,            0.024336,           0.0022558,            0.005248,            0.005248,            0.005248
                 146,            0.042259,            0.015527,           0.0010925,             0.77398,             0.63699,             0.72607,             0.47003,            0.041802,            0.024337,            0.002235,            0.005215,            0.005215,            0.005215
                 147,            0.042391,            0.015415,           0.0011093,               0.775,             0.63665,             0.72629,             0.47011,            0.041798,            0.024337,           0.0022177,            0.005182,            0.005182,            0.005182
                 148,            0.042463,            0.015603,           0.0010847,             0.78553,             0.62958,             0.72645,             0.47045,            0.041796,            0.024337,           0.0022002,            0.005149,            0.005149,            0.005149
                 149,            0.042085,            0.015656,           0.0010308,             0.78605,             0.63086,             0.72708,             0.47041,             0.04179,            0.024341,           0.0021921,            0.005116,            0.005116,            0.005116
                 150,             0.04227,            0.015579,           0.0010047,               0.785,                0.63,             0.72592,             0.47112,             0.04176,            0.024343,           0.0021704,            0.005083,            0.005083,            0.005083
                 151,            0.042173,            0.015498,          0.00095533,              0.7875,             0.62777,             0.72565,             0.47102,            0.041745,            0.024343,            0.002161,             0.00505,             0.00505,             0.00505
                 152,            0.041839,            0.015452,           0.0010579,             0.78799,             0.62885,              0.7258,             0.47093,            0.041747,            0.024344,            0.002154,            0.005017,            0.005017,            0.005017
                 153,            0.042083,            0.015543,           0.0010605,             0.78629,             0.63033,             0.72597,             0.47111,             0.04174,            0.024341,           0.0021522,            0.004984,            0.004984,            0.004984
                 154,            0.041792,            0.015416,           0.0011487,             0.78602,             0.63162,             0.72576,             0.47163,            0.041748,            0.024337,           0.0021527,            0.004951,            0.004951,            0.004951
                 155,            0.041817,            0.015524,          0.00098574,             0.78363,             0.63204,             0.72616,             0.47069,             0.04174,             0.02434,            0.002167,            0.004918,            0.004918,            0.004918
                 156,            0.041771,            0.015358,           0.0010077,             0.78455,             0.63227,             0.72684,             0.47131,            0.041722,            0.024333,           0.0021706,            0.004885,            0.004885,            0.004885
                 157,            0.041935,            0.015546,           0.0010925,             0.78586,              0.6337,             0.72724,              0.4718,            0.041702,            0.024331,           0.0021626,            0.004852,            0.004852,            0.004852
                 158,            0.041825,            0.015508,          0.00090967,             0.78009,             0.63666,             0.72606,              0.4726,            0.041698,            0.024334,           0.0021607,            0.004819,            0.004819,            0.004819
